videoId,author,comment,likeCount,publishedAt
lrCy9b3goZw,@arungamingffking,❤️,0,2025-07-18T14:32:46Z
lrCy9b3goZw,@ChintadaUdayKiran-h6j,😂😂😂,0,2025-07-17T19:14:02Z
lrCy9b3goZw,@Majnu9669,Na favourite Ms narayana 😊,0,2025-07-17T04:52:19Z
lrCy9b3goZw,@RasoolRizu,🎉🎉🎉🎉🎉🎉,0,2025-07-17T04:52:00Z
lrCy9b3goZw,@LakshmikanthBV-v6c,❤❤❤😂😂😂,0,2025-07-16T16:49:38Z
lrCy9b3goZw,@karthikramamurthy,"Golden era of comedy- MS, Brahmanandam, venu Madhav, Kota,",1,2025-07-16T13:40:15Z
lrCy9b3goZw,@patnanasrinivasarao6846,Medi super combinationabba.😊,0,2025-07-16T09:23:34Z
lrCy9b3goZw,@maniyaasinganamala5982,👌😂😂😂😂🤝👍❤️❤️❤️,0,2025-07-16T05:03:28Z
lrCy9b3goZw,@ksreddy115,మధ్యలో మ్యూజిక్ ఒకటి డిస్టర్బ్.,0,2025-07-15T12:59:39Z
lrCy9b3goZw,@ramprasad4788,Comedy legend reveal another legend humble ness,1,2025-07-15T07:56:25Z
lrCy9b3goZw,@swaroopchdsp1795,మీరు అది గమనించడం 🙏🙏 మీరు కూడా గ్రేట్ 👍👍,8,2025-07-14T17:33:11Z
lrCy9b3goZw,@ojasgambhira6,MS Narayana Sunil combo lo navvu Brahmi venumadhav kanna yekkuva 😂,0,2025-07-13T18:13:23Z
lrCy9b3goZw,@daivalaganesh9239,💯,0,2025-07-13T05:32:32Z
lrCy9b3goZw,@Raghavendra-u2z,Real hero's ❤❤,0,2025-07-12T15:34:51Z
lrCy9b3goZw,@doublegamer7655,Natural actor MS Narayana hat's off to MSN...,0,2025-07-12T13:56:59Z
lrCy9b3goZw,@CogitoErgoSum1905,"Asalu mee batch antha extra ordinary legends sir. Meeru, ms, dharmavarapu, mallikarjuna rao, avs andaru okkokkaru okkokka gem. Meeru maa childhood. Mee comedy chooste malli pillalam aipoyinattu anipistundi",4,2025-07-12T10:36:28Z
lrCy9b3goZw,@GUTTAVALLINANI,Super sir Bramhi +M.S and kota+ babu mohan four pillars in 90s movies,0,2025-07-12T07:30:36Z
lrCy9b3goZw,@ramakantharsha4949,Ms narayana antene comedy chomedy ms narayana,0,2025-07-10T16:30:26Z
lrCy9b3goZw,@bharghavravipalli2181,Any ways MS won't comeback to compete.,0,2025-07-10T16:26:02Z
lrCy9b3goZw,@rameshkrishna697,We miss ms camedy,0,2025-07-09T12:24:27Z
nFz9joMjPUU,@NagulavanchaMadhu-g3v,Indian,0,2025-04-15T07:36:47Z
nFz9joMjPUU,@nasa_manasa,Vamsy యూ ఆర్ స్టీలింగ్ మీ..,0,2025-03-27T08:19:42Z
nFz9joMjPUU,@kamakyasharma431,This is correct bro,0,2024-10-27T03:16:23Z
nFz9joMjPUU,@ranjithkumardonthi8701,ఇలాంటి మాటలు నమ్మే అందరూ అప్పుల పాలయి 👆 ఆరి పోతున్నారు,0,2024-10-08T18:02:37Z
nFz9joMjPUU,@ranjithkumardonthi8701,"మా 😀 ఇంటి పక్కన మధు అని వుండే వాడు - ఇలానే అని - సంపాదన - సంపాదన అని శనివారం - Sunday అంటూ లేకుండా  కష్టపడి 😮 హర్ట్ అటాక్ 🫀 వచ్చి సచ్చాడు, just age 34 years - 
ఆడి పెళ్ళాం ఇప్పుడు ఇంకొక్కరిని పెళ్ళి చేసుకొని - అదే ఇంట్లో వాడు కష్టపడి సంపాయించిన వాడి అదే ఇల్లు, అదే బెడ్ పై వుంటుంది 😅
 ఈ సంఘటన తో నాకు అర్ద మైన నితీ ఏంటంటే  వాడి తోని - వీడి తోని కంపెర్ చేసుకొని  ఆరాట పడ్డామో - ఆరిపోతాం  అని 😀
మన కేపాసిటి  ఎంతో  అంతే కష్టపడాలి - ఓవర్ లోడ్ వేస్తే  ఇంజన్ స్టక్ అయి ఫెయిల్ అవుతుంది",1,2024-10-08T17:56:03Z
nFz9joMjPUU,@subashtejasvi2797,Bro neku okka title evvali.. Am seeking for that,0,2024-09-30T00:04:20Z
nFz9joMjPUU,@PKSD2019,"Kalam eppudu okela undadu. Neek sampayichali ani kasi undotchu...bayta jobs kuda undali...neek health bagundali...mee family bagundali. 

So money vachetappude save chesko. Bags...watches ...cars..ivi tindi pettav. 

Bhumi...gold... investments chey. Kashtam lo aadukuntayy",0,2024-09-29T07:05:17Z
nFz9joMjPUU,@aravind_gowda,Kiran is correct 💯 1 crore petti konna watch lo time matrame telustadhi manam time ni change cheyyalem kadha .. okari mundhu show dengadaniki konakunda unte chalu like iphone,0,2024-09-24T07:15:31Z
nFz9joMjPUU,@Hakuna_Mataata,"Am sorry if am pointing out .. I only see ur shorts.. 

But epudu anchor ala kalu meeda kalu veskotam chudledu but y in this short 

Doesn’t it feel odd .. nd yeah Der is a way if u cross ur legs dats not wrong but I didn’t see dis anchor doing it by u here",0,2024-09-23T16:35:45Z
